"appearance_id","game_id","player_id","player_club_id","player_current_club_id","appearances_date","player_name","competition_id","yellow_cards","red_cards","goals","assists","minutes_played"
"3854845_441170","3854845","441170","114","417","2022-08-06","Valentin Rosier","TR1",0,0,0,0,90
"3854845_45671","3854845","45671","114","114","2022-08-06","Cenk Tosun","TR1",2,0,0,0,13
"3854845_461951","3854845","461951","114","3205","2022-08-06","Kartal Yılmaz","TR1",0,0,0,0,77
"3854845_500091","3854845","500091","114","114","2022-08-06","Ersin Destanoğlu","TR1",0,0,0,0,90
"3854845_549966","3854845","549966","114","114","2022-08-06","Jackson Muleka","TR1",0,0,0,0,57
"3854845_58602","3854845","58602","3205","3205","2022-08-06","Mustafa Pektemek","TR1",0,0,0,0,21
"3854845_61380","3854845","61380","3205","3205","2022-08-06","Mario Gavranovic","TR1",0,0,0,0,69
"3854845_77710","3854845","77710","114","114","2022-08-06","Necip Uysal","TR1",1,0,0,0,90
"3854845_99227","3854845","99227","3205","6646","2022-08-06","Andrea Bertolacci","TR1",0,0,0,0,69
"3854846_114422","3854846","114422","2832","141","2022-08-06","Günay Güvenç","TR1",0,0,0,0,90
"3854846_124422","3854846","124422","2381","2381","2022-08-06","Robin Yalcin","TR1",0,0,0,0,90
"3854846_129236","3854846","129236","2832","2832","2022-08-06","Torgeir Börven","TR1",0,0,0,0,17
"3854846_129513","3854846","129513","2832","2832","2022-08-06","Alexandru Maxim","TR1",0,0,1,0,90
"3854846_136610","3854846","136610","2832","2832","2022-08-06","Papy Djilobodji","TR1",1,0,0,0,90
"3854846_144303","3854846","144303","2832","2832","2022-08-06","Lazar Markovic","TR1",0,0,0,0,64
"3854846_157993","3854846","157993","2381","2381","2022-08-06","Caner Osmanpaşa","TR1",1,0,0,0,90
"3854846_158022","3854846","158022","2381","2381","2022-08-06","Fredrik Ulvestad","TR1",0,0,0,0,90
"3854846_158946","3854846","158946","2381","589","2022-08-06","Erdoğan Yeşilyurt","TR1",0,0,0,0,90
"3854846_169927","3854846","169927","2381","152","2022-08-06","Muammer Yıldırım","TR1",0,0,0,0,90
"3854846_172163","3854846","172163","2381","2381","2022-08-06","Uğur Çiftçi","TR1",0,0,0,0,90
"3854846_189151","3854846","189151","2832","868","2022-08-06","Stelios Kitsiou","TR1",0,0,0,0,90
"3854846_191829","3854846","191829","2381","2381","2022-08-06","Dimitrios Goutas","TR1",0,0,0,0,90
"3854846_212642","3854846","212642","2381","2381","2022-08-06","Leke James","TR1",0,0,0,0,15
"3854846_221285","3854846","221285","2832","2832","2022-08-06","Furkan Soyalp","TR1",1,0,0,0,73
"3854846_251079","3854846","251079","2832","2832","2022-08-06","Ertuğrul Ersoy","TR1",0,0,0,0,90
"3854846_253290","3854846","253290","2381","3060","2022-08-06","Karol Angielski","TR1",0,0,0,0,4
"3854846_256000","3854846","256000","2832","2832","2022-08-06","Marko Jevtovic","TR1",0,0,0,0,90
"3854846_267473","3854846","267473","2832","868","2022-08-06","Matej Hanousek","TR1",1,0,0,0,90
"3854846_28140","3854846","28140","2381","2832","2022-08-06","Max Gradel","TR1",0,0,1,0,90
"3854846_288858","3854846","288858","2381","2381","2022-08-06","Murat Paluli","TR1",0,0,0,0,75
"3854846_361264","3854846","361264","2381","2381","2022-08-06","Kerem Atakan Kesgin","TR1",0,0,0,0,86
"3854846_390379","3854846","390379","2832","2832","2022-08-06","Mustafa Eskihellaç","TR1",0,0,0,0,89
"3854846_439343","3854846","439343","2832","6890","2022-08-06","João Figueiredo","TR1",0,0,0,0,73
"3854846_583970","3854846","583970","2832","2832","2022-08-06","Mirza Cihan","TR1",0,0,0,0,1
"3854846_603348","3854846","603348","2832","2832","2022-08-06","Valmir Veliu","TR1",0,0,0,0,26
"3854846_76386","3854846","76386","2381","2381","2022-08-06","Mustapha Yatabaré","TR1",1,0,0,0,86
"3854846_86926","3854846","86926","2832","2832","2022-08-06","Alexander Merkel","TR1",0,0,0,0,17
"3854846_99327","3854846","99327","2381","2381","2022-08-06","Isaac Cofie","TR1",0,0,0,0,4
"3865509_171159","3865509","171159","749","749","2022-08-06","Leo Stulac","CIT",1,0,0,0,64
"3865509_183841","3865509","183841","749","749","2022-08-06","Petar Stojanovic","CIT",1,0,0,0,120
"3865509_192638","3865509","192638","749","749","2022-08-06","Nicolas Haas","CIT",0,0,0,0,99
"3865509_193867","3865509","193867","749","749","2022-08-06","Liam Henderson","CIT",0,0,0,0,56
"3865509_240934","3865509","240934","749","749","2022-08-06","Filippo Bandinelli","CIT",1,0,0,0,56
"3865509_278531","3865509","278531","749","749","2022-08-06","Sebastiano Luperto","CIT",0,0,0,0,120
"3865509_286047","3865509","286047","749","148","2022-08-06","Guglielmo Vicario","CIT",0,0,0,0,120
"3865509_295183","3865509","295183","749","749","2022-08-06","Răzvan Marin","CIT",0,0,0,0,83
"3865509_390160","3865509","390160","2722","3522","2022-08-06","Salvatore Esposito","CIT",0,0,0,0,70
"3865509_390177","3865509","390177","749","6574","2022-08-06","Nedim Bajrami","CIT",0,0,0,0,83
"3865509_435228","3865509","435228","749","749","2022-08-06","Ardian Ismajli","CIT",0,0,0,0,120
"3865509_459151","3865509","459151","749","749","2022-08-06","Nicolò Cambiaghi","CIT",0,0,1,0,51
"3865509_547985","3865509","547985","749","430","2022-08-06","Fabiano Parisi","CIT",0,0,0,0,120
"3865509_616169","3865509","616169","749","749","2022-08-06","Duccio Degli Innocenti","CIT",0,0,0,0,21
"3865509_640109","3865509","640109","749","3911","2022-08-06","Martín Satriano","CIT",0,0,0,0,64
"3865509_641537","3865509","641537","749","12","2022-08-06","Tommaso Baldanzi","CIT",0,0,0,0,37
"3865509_691482","3865509","691482","749","749","2022-08-06","Jacopo Fazzini","CIT",0,0,0,0,37
"3865509_88683","3865509","88683","749","749","2022-08-06","Mattia Destro","CIT",0,0,0,0,69
"3869044_113025","3869044","113025","2425","2425","2022-08-06","Zé Manuel","PO1",0,0,0,0,25
"3869044_159142","3869044","159142","2425","2425","2022-08-06","Aderllan Santos","PO1",0,0,0,0,90
"3869044_197880","3869044","197880","6912","3325","2022-08-06","Raphael Guzzo","PO1",0,0,0,0,90
"3869044_212216","3869044","212216","2425","2425","2022-08-06","Jhonatan","PO1",0,0,0,0,90
"3869044_248349","3869044","248349","6912","6912","2022-08-06","Fabijan Buntic","PO1",1,0,0,0,90
"3869044_258034","3869044","258034","2425","2425","2022-08-06","Guga","PO1",1,0,0,0,90
"3869044_270055","3869044","270055","6912","11127","2022-08-06","Kiki","PO1",0,0,0,0,90
"3869044_291939","3869044","291939","6912","6912","2022-08-06","Samu","PO1",0,0,0,0,90
"3869044_306668","3869044","306668","2425","2425","2022-08-06","Amine","PO1",1,0,0,0,45
"3869044_319623","3869044","319623","2425","3999","2022-08-06","Pedro Amaral","PO1",1,0,0,0,90
"3869044_340491","3869044","340491","2425","2425","2022-08-06","Joca","PO1",0,0,0,0,65
"3869044_344399","3869044","344399","2425","2425","2022-08-06","Leonardo Ruiz","PO1",0,0,0,0,19
"3869044_358177","3869044","358177","2425","2425","2022-08-06","André Pereira","PO1",1,0,0,0,69
"3869044_38780","3869044","38780","2425","2425","2022-08-06","Vítor Gomes","PO1",1,0,0,0,45
"3869044_409884","3869044","409884","2425","2425","2022-08-06","Miguel Nóbrega","PO1",0,0,0,0,90
"3869044_461937","3869044","461937","6912","3268","2022-08-06","Nuno Moreira","PO1",0,0,1,0,45
"3869044_461939","3869044","461939","6912","6912","2022-08-06","Tomás Silva","PO1",0,0,0,0,90
"3869044_481514","3869044","481514","6912","6912","2022-08-06","Francis Cann","PO1",0,0,0,0,11
"3869044_481623","3869044","481623","2425","410","2022-08-06","João Ferreira","PO1",1,0,0,0,10
"3869044_503212","3869044","503212","2425","2425","2022-08-06","Aziz","PO1",0,0,0,0,90
"3869044_524572","3869044","524572","2425","2425","2022-08-06","Paulo Vitor","PO1",0,0,0,0,71
"3869044_524929","3869044","524929","6912","6912","2022-08-06","Kévin Zohi","PO1",0,0,0,0,69
"3869044_526111","3869044","526111","6912","6912","2022-08-06","Alex Méndez","PO1",0,0,0,0,90
"3869044_539183","3869044","539183","6912","6912","2022-08-06","Anderson","PO1",1,0,0,0,90
"3869044_539252","3869044","539252","2425","2425","2022-08-06","Costinha","PO1",0,0,0,0,80
"3869044_590302","3869044","590302","6912","6912","2022-08-06","Kiko Bondoso","PO1",0,0,0,0,79
"3869044_662327","3869044","662327","6912","6912","2022-08-06","Diego Rosa","PO1",0,0,0,0,1
"3869044_71830","3869044","71830","6912","6912","2022-08-06","Bruno Wilson","PO1",1,0,0,0,90
"3869044_718316","3869044","718316","6912","6912","2022-08-06","Monsuru Opeyemi","PO1",0,0,0,0,45
"3869044_742506","3869044","742506","2425","2425","2022-08-06","Fábio Ronaldo","PO1",1,0,0,0,21
"3869044_763798","3869044","763798","6912","6912","2022-08-06","Alejandro Alvarado","PO1",1,0,0,0,21
